year	v2rel_macroave	total_occurrences	total_authors
2005	0.15232558139534885	61.0	5.0
2006	0.2591173054587689	70.0	5.0
2007	0.1775	88.0	10.0
2008	0.13958333333333334	122.0	8.0
2009	0.06333333333333332	131.0	15.0
2010	0.12677095631641086	155.0	22.0
2011	0.17661564625850337	146.0	14.0
2012	0.06856060606060606	187.0	22.0
2013	0.1601010101010101	69.0	11.0
2014	0.1789473684210526	55.0	7.0
2020	0.008333333333333333	50.0	5.0
