year	v2rel_macroave	total_occurrences	total_authors
2003	0.3828195809216134	266.0	23.0
2004	0.3953824296578049	3224.0	218.0
2005	0.4701966823729159	7491.0	448.0
2006	0.47673189008040073	15079.0	764.0
2007	0.5094836739997968	20010.0	1042.0
2008	0.5597304182003165	23879.0	1278.0
2009	0.6044803770570156	30556.0	1599.0
2010	0.6281796172052599	27022.0	1530.0
2011	0.6595071036714463	25903.0	1454.0
2012	0.6841809705677153	18910.0	1144.0
2013	0.7071589217024636	9398.0	707.0
2014	0.7194114565983297	6035.0	444.0
2015	0.7177193441688678	4685.0	332.0
2016	0.6909549414927544	3287.0	254.0
2017	0.7086477910033131	3251.0	232.0
2018	0.7340586341402964	2443.0	173.0
2019	0.6926279549011176	2267.0	132.0
2020	0.6773624108249249	1710.0	88.0
2021	0.5954146200970579	891.0	59.0
2022	0.6533535374235022	414.0	26.0
