year	v2rel_macroave	total_occurrences	total_authors
2003	1.0	84.0	8.0
2004	0.9199129269198473	981.0	102.0
2005	0.9350232404658773	2309.0	212.0
2006	0.9194907401507871	5026.0	421.0
2007	0.9376491159420495	6240.0	568.0
2008	0.9490884942932958	7463.0	704.0
2009	0.9453692269452004	9401.0	852.0
2010	0.947505657816333	7766.0	761.0
2011	0.957273499813108	7748.0	750.0
2012	0.9527473349085243	5768.0	542.0
2013	0.9570477274057336	2783.0	311.0
2014	0.9451366942777937	1804.0	179.0
2015	0.9550630548300387	1326.0	142.0
2016	0.9622507865208593	1135.0	137.0
2017	0.9634287016885926	1061.0	109.0
2018	0.9638090017090201	865.0	94.0
2019	0.9670325604830712	758.0	67.0
2020	0.9701661437550613	516.0	45.0
2021	0.9817407548125634	366.0	32.0
2022	0.9784615384615384	139.0	13.0
