year	v2rel_macroave	total_occurrences	total_authors
2004	0.9446078431372549	117.0	17.0
2005	0.9401744758509463	422.0	50.0
2006	0.964535993788571	788.0	97.0
2007	0.9400776243958062	808.0	110.0
2008	0.9458102059349308	1064.0	141.0
2009	0.9323385721691657	1235.0	172.0
2010	0.9399175101729843	857.0	137.0
2011	0.9444120283009171	940.0	135.0
2012	0.9626797531969946	587.0	87.0
2013	0.8937905844155846	279.0	44.0
2014	0.9257936507936508	119.0	21.0
2015	0.9163043478260869	128.0	23.0
2016	0.9318181818181818	68.0	11.0
2017	0.9232142857142858	90.0	14.0
2018	0.9523809523809523	55.0	7.0
2019	0.9486111111111111	69.0	12.0
2020	0.9440035273368608	62.0	9.0
