year	v2rel_macroave	total_occurrences	total_authors
2006	0.125	62.0	12.0
2007	0.16547619047619047	62.0	14.0
2008	0.17264957264957265	54.0	9.0
2009	0.1261904761904762	61.0	10.0
2010	0.028571428571428574	30.0	7.0
2011	0.19285714285714284	30.0	7.0
