year	v2rel_macroave	total_occurrences	total_authors
2005	0.02	29.0	5.0
2006	0.1375	44.0	8.0
2007	0.06785714285714285	60.0	14.0
2008	0.10694444444444444	147.0	24.0
2009	0.08505291005291006	112.0	21.0
2010	0.013888888888888888	92.0	18.0
2011	0.06031468531468531	139.0	22.0
2012	0.1173202614379085	99.0	17.0
2013	0.0	34.0	6.0
