period	v1ipm	v1abs
2000	954.7442549501257	5944
2001	953.0860992290748	5624
2002	949.6982350497514	10987
2003	948.2143820492407	12163
2004	896.0907968564354	42945
2005	880.5788795251656	71256
2006	903.6132965000852	109213
2007	891.8248826770077	153162
2008	933.2118537376768	225930
2009	931.4445626188677	277540
2010	963.464229083653	346236
2011	954.0015972074624	354864
2012	958.9522622978027	344780
2013	963.3362795114821	312152
2014	919.3832115379332	256385
2015	975.07954998458	235141
2016	892.2241055751264	198856
2017	934.4274332082251	175112
2018	948.819662397771	180113
2019	951.5566998749438	177785
2020	896.3412941850895	197912
2021	874.2755813111447	186637
