period	v1ipm	v1abs
2000	67.78298714484406	422
2001	70.8374803481069	418
2002	127.32370075801254	1473
2003	109.06453346106125	1399
2004	87.86676785568633	4211
2005	94.63726646743739	7658
2006	100.32057740437065	12125
2007	114.78397978749202	19713
2008	137.28247320331707	33236
2009	140.58590735787408	41890
2010	148.4198396083446	53337
2011	147.70647277652736	54943
2012	148.4264965413372	53365
2013	141.89637995482468	45979
2014	117.28200681225361	32706
2015	115.40092453685608	27829
2016	92.8046596517878	20684
2017	97.86536116907378	18340
2018	85.04519179487107	16144
2019	92.76052065996934	17331
2020	91.1096740729286	20117
2021	77.26857865121777	16495
