year	v2abs	v2rel	total
2003	3.0	0.75	4.0
2004	112.0	0.9572649572649573	117.0
2005	399.0	0.9454976303317536	422.0
2006	756.0	0.9593908629441624	788.0
2007	768.0	0.9504950495049505	808.0
2008	1012.0	0.9511278195488722	1064.0
2009	1164.0	0.9425101214574899	1235.0
2010	805.0	0.9393232205367561	857.0
2011	894.0	0.951063829787234	940.0
2012	565.0	0.9625212947189097	587.0
2013	248.0	0.8888888888888888	279.0
2014	110.0	0.9243697478991597	119.0
2015	118.0	0.921875	128.0
2016	65.0	0.9558823529411765	68.0
2017	83.0	0.9222222222222223	90.0
2018	53.0	0.9636363636363636	55.0
2019	65.0	0.9420289855072463	69.0
2020	59.0	0.9516129032258065	62.0
2021	16.0	0.8421052631578947	19.0
2022	9.0	1.0	9.0
