year	v2abs	v2rel	total
2003	0.0	NA	0
2004	69.0	0.9324324324324325	74.0
2005	235.0	0.8671586715867159	271.0
2006	443.0	0.7996389891696751	554.0
2007	398.0	0.8378947368421052	475.0
2008	421.0	0.8539553752535497	493.0
2009	416.0	0.8648648648648649	481.0
2010	210.0	0.8267716535433071	254.0
2011	182.0	0.896551724137931	203.0
2012	108.0	0.8571428571428571	126.0
2013	52.0	0.9454545454545454	55.0
2014	8.0	0.6153846153846154	13.0
2015	26.0	0.9285714285714286	28.0
2016	14.0	0.9333333333333333	15.0
2017	7.0	0.5	14.0
2018	0.0	NA	0
2019	0.0	NA	0
2020	6.0	1.0	6.0
2021	0.0	NA	0
2022	0.0	NA	0
