year	v2abs	v2rel	total
2003	14.0	1.0	14.0
2004	174.0	0.9830508474576272	177.0
2005	436.0	0.9886621315192744	441.0
2006	1047.0	0.9703429101019463	1079.0
2007	1365.0	0.9708392603129445	1406.0
2008	1482.0	0.9788639365918098	1514.0
2009	1821.0	0.9864572047670639	1846.0
2010	1568.0	0.9818409517845961	1597.0
2011	1553.0	0.9872854418308964	1573.0
2012	981.0	0.9919110212335692	989.0
2013	376.0	0.9842931937172775	382.0
2014	181.0	0.9526315789473684	190.0
2015	175.0	0.9887005649717514	177.0
2016	88.0	0.9887640449438202	89.0
2017	46.0	0.9787234042553191	47.0
2018	64.0	0.927536231884058	69.0
2019	74.0	0.9736842105263158	76.0
2020	27.0	1.0	27.0
2021	22.0	1.0	22.0
2022	6.0	1.0	6.0
