year	v2abs	v2rel	total
2003	0.0	NA	0
2004	1.0	0.058823529411764705	17.0
2005	1.0	0.034482758620689655	29.0
2006	5.0	0.11363636363636363	44.0
2007	4.0	0.06666666666666667	60.0
2008	11.0	0.07482993197278912	147.0
2009	9.0	0.08035714285714286	112.0
2010	1.0	0.010869565217391304	92.0
2011	8.0	0.05755395683453238	139.0
2012	11.0	0.1111111111111111	99.0
2013	0.0	0.0	34.0
2014	1.0	0.07142857142857142	14.0
2015	0.0	NA	0
2016	0.0	NA	0
2017	0.0	0.0	8.0
2018	0.0	NA	0
2019	0.0	NA	0
2020	0.0	NA	0
2021	0.0	NA	0
2022	0.0	NA	0
