year	v2abs	v2rel	total
2003	0.0	NA	0
2004	0.0	0.0	4.0
2005	0.0	0.0	20.0
2006	6.0	0.0967741935483871	62.0
2007	10.0	0.16129032258064516	62.0
2008	10.0	0.18518518518518517	54.0
2009	10.0	0.16393442622950818	61.0
2010	1.0	0.03333333333333333	30.0
2011	6.0	0.2	30.0
2012	0.0	0.0	22.0
2013	0.0	0.0	6.0
2014	1.0	0.25	4.0
2015	0.0	0.0	10.0
2016	0.0	0.0	6.0
2017	0.0	NA	0
2018	0.0	NA	0
2019	0.0	NA	0
2020	0.0	NA	0
2021	0.0	NA	0
2022	0.0	NA	0
