year	v2abs	v2rel	total
2003	0.0	NA	0
2004	0.0	NA	0
2005	12.0	1.0	12.0
2006	19.0	0.9047619047619048	21.0
2007	36.0	0.9	40.0
2008	31.0	0.9117647058823529	34.0
2009	40.0	1.0	40.0
2010	20.0	1.0	20.0
2011	17.0	0.9444444444444444	18.0
2012	4.0	1.0	4.0
2013	0.0	NA	0
2014	5.0	0.7142857142857143	7.0
2015	4.0	1.0	4.0
2016	0.0	NA	0
2017	0.0	NA	0
2018	0.0	NA	0
2019	0.0	NA	0
2020	0.0	NA	0
2021	0.0	NA	0
2022	4.0	1.0	4.0
