year	v2abs	v2rel	total
2003	119.0	0.4473684210526316	266.0
2004	1489.0	0.461848635235732	3224.0
2005	3803.0	0.5076758777199306	7491.0
2006	7898.0	0.5237747861264009	15079.0
2007	10348.0	0.5171414292853573	20010.0
2008	13852.0	0.5800912936052599	23879.0
2009	18954.0	0.6203037046733866	30556.0
2010	17228.0	0.6375545851528385	27022.0
2011	17587.0	0.6789561054704089	25903.0
2012	13320.0	0.7043892120571127	18910.0
2013	6699.0	0.7128112364332837	9398.0
2014	4211.0	0.6977630488815244	6035.0
2015	3369.0	0.7191035218783352	4685.0
2016	2374.0	0.7222391238211134	3287.0
2017	2328.0	0.7160873577360812	3251.0
2018	1613.0	0.6602537863282849	2443.0
2019	1496.0	0.6599029554477283	2267.0
2020	957.0	0.5596491228070175	1710.0
2021	495.0	0.5555555555555556	891.0
2022	191.0	0.4613526570048309	414.0
