year	v2abs	v2rel	total
2003	84.0	1.0	84.0
2004	912.0	0.9296636085626911	981.0
2005	2168.0	0.9389346037245561	2309.0
2006	4698.0	0.9347393553521687	5026.0
2007	5919.0	0.9485576923076923	6240.0
2008	7151.0	0.9581937558622537	7463.0
2009	8961.0	0.9531964684608021	9401.0
2010	7420.0	0.9554468194694824	7766.0
2011	7468.0	0.9638616417139907	7748.0
2012	5543.0	0.9609916782246879	5768.0
2013	2666.0	0.9579590370104204	2783.0
2014	1716.0	0.9512195121951219	1804.0
2015	1270.0	0.9577677224736049	1326.0
2016	1096.0	0.9656387665198238	1135.0
2017	1020.0	0.9613572101790764	1061.0
2018	838.0	0.96878612716763	865.0
2019	739.0	0.974934036939314	758.0
2020	504.0	0.9767441860465116	516.0
2021	359.0	0.9808743169398907	366.0
2022	135.0	0.9712230215827338	139.0
