year	v2abs	v2rel	total
2003	0.0	NA	0
2004	0.0	0.0	10.0
2005	23.0	0.3770491803278688	61.0
2006	23.0	0.32857142857142857	70.0
2007	19.0	0.2159090909090909	88.0
2008	20.0	0.16393442622950818	122.0
2009	6.0	0.04580152671755725	131.0
2010	18.0	0.11612903225806452	155.0
2011	45.0	0.3082191780821918	146.0
2012	47.0	0.25133689839572193	187.0
2013	8.0	0.11594202898550725	69.0
2014	9.0	0.16363636363636364	55.0
2015	0.0	0.0	12.0
2016	1.0	0.16666666666666666	6.0
2017	2.0	0.07692307692307693	26.0
2018	3.0	0.07894736842105263	38.0
2019	3.0	0.06	50.0
2020	1.0	0.02	50.0
2021	0.0	0.0	14.0
2022	6.0	0.8571428571428571	7.0
