period	v1ipm	v1abs
2000	360.5990666828789	2245
2001	408.4170517677934	2410
2002	520.0131593755624	6016
2003	475.70534894881746	6102
2004	410.7891376810489	19687
2005	431.3793497752464	34907
2006	397.4101421762253	48032
2007	395.51066946002106	67925
2008	378.45617176497547	91624
2009	372.5543325349783	111009
2010	361.6121374832478	129951
2011	352.1131114946622	130977
2012	324.8166395968055	116784
2013	295.81008311250474	95852
2014	289.89160131808825	80841
2015	274.061126976924	66090
2016	246.91226190763555	55031
2017	255.4958283955972	47880
2018	252.78081815392028	47985
2019	253.84301040565265	47427
2020	251.19585240249106	55464
2021	261.4811797702926	55820
