age	v2rel	iqr	bin	binlabel
35	0.09678812174680315	0.007823385825950102	3	30--39
36	0.11402335481607903	0.013969141144656055	3	30--39
51	0.00866042226135497	0.0	5	50--59
28	0.07516269408408176	0.028072665764944202	2	20--29
31	0.11437929969094938	0.04139282442113157	3	30--39
29	0.09066328379025798	0.030316678543570164	2	20--29
32	0.09120353242341711	0.029685452041031048	3	30--39
27	0.12619360163081944	0.03119403299916226	2	20--29
17	0.0	0.0	1	<20
19	0.00566672297846497	0.0	1	<20
24	0.05340888570906997	0.02062643146979406	2	20--29
22	0.043039064925592216	0.02915909058372656	2	20--29
18	0.04483927477886912	0.0	1	<20
26	0.1373286931917184	0.1343568398960939	2	20--29
30	0.17387815923250977	0.02024971496607931	3	30--39
46	0.001698626762716829	0.0	4	40--49
48	0.011388091507140955	0.0	4	40--49
15	0.0	0.0	1	<20
25	0.08700298860192159	0.03131671179408012	2	20--29
40	0.08666874407568265	0.012049714967194479	4	40--49
23	0.07224112574972567	0.027314387689565824	2	20--29
20	0.005634186117076042	0.004400504568404731	2	20--29
21	0.022224889373298265	0.014364198908260049	2	20--29
34	0.10600215681690124	0.020658365299973027	3	30--39
37	0.1511865910998273	0.02889736673508173	3	30--39
16	0.0	0.0	1	<20
33	0.10484256611997526	0.0349197397417417	3	30--39
39	0.07060447059802144	0.014439921091029609	3	30--39
52	0.0026651929642082656	0.0	5	50--59
47	0.00033972945950249035	0.0	4	40--49
49	0.00922038503747057	0.0	4	40--49
41	0.06492963343366659	0.004813311385916963	4	40--49
38	0.07953754510767998	0.026292414776514735	3	30--39
53	0.008190932135203097	0.0	5	50--59
50	0.004260364887749589	0.0	5	50--59
42	0.01815377311192377	0.0024263276366824175	4	40--49
54	0.06319251651975608	0.0	5	50--59
43	0.008001539625798979	0.0	4	40--49
55	0.07961329874695744	0.0	5	50--59
44	0.009868334210386812	0.0	4	40--49
56	0.14096817221391192	0.001605801573527531	5	50--59
45	0.0050304991747710135	0.0	4	40--49
57	0.13941962741165673	0.020227330722247895	5	50--59
58	0.14384575667700564	0.055805535643695614	5	50--59
59	0.0455111573423588	0.04331544626792527	5	50--59
60	0.031708091044895345	0.033789923808677666	6	60+
61	0.10347276538471649	0.10948268991086357	6	60+
62	0.08665664845798104	0.09749838798602761	6	60+
63	0.10561981015484212	0.14153475332792434	6	60+
64	0.08014238241373046	0.12021357362059569	6	60+
65	0.2518607351176811	0.25186073511768103	6	60+
66	0.1842959730420697	0.18429597304206974	6	60+
67	0.0	0.0	6	60+
68	0.0	0.0	6	60+
69	0.0	0.0	6	60+
