author	age	change	start_year	bin	binlabel
Alle	36	0.04146891824231709	2004	3	30--39
Alle	37	0.05320384127626504	2005	3	30--39
Alle	38	-0.05417331948622128	2006	3	30--39
Alle	39	-0.007426491024008421	2007	3	30--39
Alle	40	0.0038604871827807932	2008	4	40--49
Alle	41	-0.015020494575364668	2009	4	40--49
Alle	42	-0.017060286342403717	2010	4	40--49
Alle	43	-0.0020802897460745103	2011	4	40--49
Alle	44	-0.002772365527290325	2012	4	40--49
Alle	45	0.004813311385916963	2013	4	40--49
Alle	46	-0.004813311385916963	2014	4	40--49
Alle	47	0.0	2015	4	40--49
Alle	48	0.0	2016	4	40--49
Alle	49	0.0	2017	4	40--49
Alle	50	0.0	2018	5	50--59
Alle	51	0.0	2019	5	50--59
Alle	52	0.0	2020	5	50--59
Alle	53	0.0	2021	5	50--59
Jeanette	36	0.0	2004	3	30--39
Jeanette	37	0.0	2005	3	30--39
Jeanette	38	0.0660780337370098	2006	3	30--39
Jeanette	39	-0.04875410806596805	2007	3	30--39
Jeanette	40	0.0035514947848161588	2008	4	40--49
Jeanette	41	-0.0023337006271306714	2009	4	40--49
Jeanette	42	-0.018541719828727234	2010	4	40--49
Jeanette	43	0.002772365527290325	2011	4	40--49
Jeanette	44	-0.002772365527290325	2012	4	40--49
Jeanette	45	0.0	2013	4	40--49
Jeanette	46	0.0	2014	4	40--49
Jeanette	47	0.0	2015	4	40--49
Jeanette	48	0.0	2016	4	40--49
Jeanette	49	0.0	2017	4	40--49
Jeanette	50	0.0	2018	5	50--59
Jeanette	51	0.0	2019	5	50--59
Jeanette	52	0.0	2020	5	50--59
Jeanette	53	0.0	2021	5	50--59
Anne69	36	0.0	2004	3	30--39
Anne69	37	0.03872976525760178	2005	3	30--39
Anne69	38	-0.019545819979115066	2006	3	30--39
Anne69	39	-0.0065847266086381685	2007	3	30--39
Anne69	40	-0.006176012375738421	2008	4	40--49
Anne69	41	0.008747291747575794	2009	4	40--49
Anne69	42	0.011519105961820679	2010	4	40--49
Anne69	43	0.001034051269396652	2011	4	40--49
Anne69	44	-0.00017922975557254153	2012	4	40--49
Anne69	45	-0.003477868587745892	2013	4	40--49
Anne69	46	-0.024066556929584815	2014	4	40--49
Anne69	47	0.0	2015	4	40--49
Anne69	48	0.0	2016	4	40--49
Anne69	49	0.0	2017	4	40--49
Anne69	50	0.0	2018	5	50--59
Anne69	51	0.0	2019	5	50--59
Anne69	52	0.0	2020	5	50--59
Anne69	53	0.0	2021	5	50--59
Jossebell	37	-0.5222106226829853	2004	3	30--39
Jossebell	38	-0.036383533858407785	2005	3	30--39
Jossebell	39	0.008284948101130753	2006	3	30--39
Jossebell	40	-0.018355768268887927	2007	4	40--49
Jossebell	41	-0.014143221763783149	2008	4	40--49
Jossebell	42	0.0051366420005551	2009	4	40--49
Jossebell	43	0.00296286697264704	2010	4	40--49
Jossebell	44	-0.00970531054672967	2011	4	40--49
Jossebell	45	0.0	2012	4	40--49
Jossebell	46	0.0	2013	4	40--49
Jossebell	47	0.0	2014	4	40--49
Jossebell	48	0.0	2015	4	40--49
Jossebell	49	0.0	2016	4	40--49
Jossebell	50	0.0	2017	5	50--59
Jossebell	51	0.0	2018	5	50--59
Jossebell	52	0.0	2019	5	50--59
Jossebell	53	0.0	2020	5	50--59
Jossebell	54	0.0	2021	5	50--59
Emeli	52	0.0	2004	5	50--59
Emeli	53	0.0	2005	5	50--59
Emeli	54	0.0	2006	5	50--59
Emeli	55	0.0	2007	5	50--59
Emeli	56	0.003211603147055062	2008	5	50--59
Emeli	57	0.03724305829744073	2009	5	50--59
Emeli	58	0.015350874199199824	2010	5	50--59
Emeli	59	-0.005902956152469767	2011	5	50--59
Emeli	60	-0.02235815397389514	2012	6	60+
Emeli	61	0.0639084908150916	2013	6	60+
Emeli	62	-0.026479746930534412	2014	6	60+
Emeli	63	-0.03118324559321023	2015	6	60+
