author	age	v2rel	year	bin	binlabel
gosmamman	22	0	2003	2	20--29
Brooke	16	0	2003	1	<20
brokig	21	0	2003	2	20--29
MayaS	35	0	2003	3	30--39
Emeliee	24	0	2003	2	20--29
finskaflikkan	21	0	2003	2	20--29
Tigra79	25	0	2003	2	20--29
snöflingan1	35	0	2003	3	30--39
Carla82	22	0	2003	2	20--29
Kaosmamma	23	0	2003	2	20--29
Tant Groda	22	0	2003	2	20--29
Smajla	16	0	2003	1	<20
Mamba	20	0	2003	2	20--29
ModestyB	23	0	2003	2	20--29
AndreaBD	40	0	2003	4	40--49
Lilla Morran	21	0	2003	2	20--29
TheLove	35	0	2003	3	30--39
Bondfia	33	0	2003	3	30--39
Mania x2	27	0	2003	2	20--29
SuzR	23	0	2003	2	20--29
Trikarn	35	0	2003	3	30--39
Damien och Adrian	32	0	2003	3	30--39
BasseKatt	30	0	2003	3	30--39
Daggdroppen	17	0	2003	1	<20
Tettan	35	0	2003	3	30--39
lottizm	20	0	2003	2	20--29
Stella 78	26	0	2003	2	20--29
Tina B	35	0	2003	3	30--39
Lillatroll	31	0	2003	3	30--39
Peztis	35	0	2003	3	30--39
skruttis11	23	0	2003	2	20--29
Fiamedbarn	34	0	2003	3	30--39
Tuttie	24	0	2003	2	20--29
castillo	17	0	2003	1	<20
Studentpappa	23	0	2003	2	20--29
mikroE	22	0	2003	2	20--29
CamillaJ	20	0	2003	2	20--29
Annanym	35	0	2003	3	30--39
LeaveMeAlone	21	0	2003	2	20--29
cruz	35	0	2003	3	30--39
Hedi	39	0	2003	3	30--39
LuMa	26	0	2003	2	20--29
TantG	35	0	2003	3	30--39
allakantralla	29	0	2003	2	20--29
NinaFina	35	0	2003	3	30--39
Jossan	35	0	2003	3	30--39
Mirren	27	0	2003	2	20--29
Diana	39	0	2003	3	30--39
Solkattan	29	0	2003	2	20--29
jazzy	18	0	2003	1	<20
Kryztina	27	0	2003	2	20--29
Alle	36	0.04146891824231709	2004	3	30--39
Jeanette	36		2004	3	30--39
Anne69	36		2004	3	30--39
Jossebell	37	0.062203377363475636	2004	3	30--39
Emeli	52		2004	5	50--59
AW76	29		2004	2	20--29
Impertiff	32		2004	3	30--39
Nickis	32	0.010367229560579273	2004	3	30--39
Happy me	30		2004	3	30--39
Tyrell	33		2004	3	30--39
Lindadjo	28		2004	2	20--29
mossan	36		2004	3	30--39
nnnnnnnn	36		2004	3	30--39
Dohgon	18		2004	1	<20
Ett två tre	20		2004	2	20--29
Snakeheart	25		2004	2	20--29
Gladabarnensmamma	23		2004	2	20--29
copycat	19		2004	1	<20
modestyclara	27		2004	2	20--29
hotten	31		2004	3	30--39
Anne M	47		2004	4	40--49
bubbelmaja	28	0.05183614780289636	2004	2	20--29
vist	36	0.2799151981356404	2004	3	30--39
Tecum	49		2004	4	40--49
fruganL	16		2004	1	<20
yodi	26		2004	2	20--29
Pochahontas	32	0.010367229560579273	2004	3	30--39
kicki08	28		2004	2	20--29
LHUF	26		2004	2	20--29
MalinI	27	0.19697736165100618	2004	2	20--29
Sommartider	16		2004	1	<20
Solaris	36	0.04146891824231709	2004	3	30--39
Ruggugglan	18		2004	1	<20
Fjäril kär	28		2004	2	20--29
Gustie	33		2004	3	30--39
hymafr	41		2004	4	40--49
PumpkinQueen	24		2004	2	20--29
Tilcha	21		2004	2	20--29
Lorelei	28	0.010367229560579273	2004	2	20--29
CoolJen	26	0.7879094466040247	2004	2	20--29
car	31		2004	3	30--39
Baronessan	31	0.04146891824231709	2004	3	30--39
hemlis	36		2004	3	30--39
Mopsan	19		2004	1	<20
Adora1	26		2004	2	20--29
Saltlakrits	22		2004	2	20--29
Alisa	25		2004	2	20--29
Ickan	36		2004	3	30--39
underverket 06	35		2004	3	30--39
barnsäng	36		2004	3	30--39
UWO BaraJag	33		2004	3	30--39
högbergarna	27		2004	2	20--29
Skogsstjärnan	38		2004	3	30--39
Tristan	36	0.9330506604521346	2004	3	30--39
lilla mej	28		2004	2	20--29
sportpappa	28		2004	2	20--29
hot fuss	26		2004	2	20--29
Bohman	20		2004	2	20--29
AnnaKlara	35	0.05183614780289636	2004	3	30--39
hannis	27	0.010367229560579273	2004	2	20--29
Moomin	24		2004	2	20--29
snobben	36	0.5183614780289637	2004	3	30--39
Insatt	24		2004	2	20--29
Konvaljen	21		2004	2	20--29
luzorsus	28		2004	2	20--29
gosmamman	23		2004	2	20--29
Brooke	17		2004	1	<20
brokig	22		2004	2	20--29
MayaS	36		2004	3	30--39
Emeliee	25		2004	2	20--29
finskaflikkan	22		2004	2	20--29
Tigra79	26		2004	2	20--29
snöflingan1	36		2004	3	30--39
Carla82	23		2004	2	20--29
Kaosmamma	24		2004	2	20--29
Tant Groda	23		2004	2	20--29
Smajla	17		2004	1	<20
Mamba	21	0.1866101320904269	2004	2	20--29
ModestyB	24		2004	2	20--29
AndreaBD	41		2004	4	40--49
Lilla Morran	22		2004	2	20--29
TheLove	36		2004	3	30--39
Bondfia	34		2004	3	30--39
Mania x2	28		2004	2	20--29
SuzR	24		2004	2	20--29
Trikarn	36		2004	3	30--39
Damien och Adrian	33		2004	3	30--39
BasseKatt	31		2004	3	30--39
Daggdroppen	18		2004	1	<20
Tettan	36		2004	3	30--39
lottizm	21		2004	2	20--29
Stella 78	27		2004	2	20--29
Tina B	36		2004	3	30--39
Lillatroll	32		2004	3	30--39
Peztis	36	0.05183614780289636	2004	3	30--39
skruttis11	24		2004	2	20--29
Fiamedbarn	35		2004	3	30--39
Tuttie	25		2004	2	20--29
castillo	18		2004	1	<20
Studentpappa	24		2004	2	20--29
mikroE	23		2004	2	20--29
CamillaJ	21		2004	2	20--29
Annanym	36		2004	3	30--39
LeaveMeAlone	22		2004	2	20--29
cruz	36		2004	3	30--39
Hedi	40		2004	4	40--49
LuMa	27		2004	2	20--29
TantG	36	0.21771182077216472	2004	3	30--39
allakantralla	30		2004	3	30--39
NinaFina	36	0.09330506604521345	2004	3	30--39
Jossan	36	0.25918073901448185	2004	3	30--39
Mirren	28		2004	2	20--29
Diana	40	0.04146891824231709	2004	4	40--49
Solkattan	30		2004	3	30--39
jazzy	19		2004	1	<20
Kryztina	28		2004	2	20--29
Alle	37	0.09467275951858213	2005	3	30--39
Jeanette	37		2005	3	30--39
Anne69	37	0.03872976525760178	2005	3	30--39
Jossebell	38	0.025819843505067854	2005	3	30--39
Emeli	53		2005	5	50--59
AW76	30	0.004303307250844642	2005	3	30--39
Impertiff	33	0.008606614501689284	2005	3	30--39
Nickis	33	0.03442645800675714	2005	3	30--39
Happy me	31		2005	3	30--39
Tyrell	34		2005	3	30--39
Lindadjo	29		2005	2	20--29
mossan	37	0.06454960876266963	2005	3	30--39
nnnnnnnn	37		2005	3	30--39
Dohgon	19		2005	1	<20
Ett två tre	21		2005	2	20--29
Snakeheart	26	0.004303307250844642	2005	2	20--29
Gladabarnensmamma	24		2005	2	20--29
copycat	20	0.047336379759291065	2005	2	20--29
modestyclara	28		2005	2	20--29
hotten	32		2005	3	30--39
Anne M	48		2005	4	40--49
bubbelmaja	29	0.030123150755912497	2005	2	20--29
vist	37	0.4733637975929107	2005	3	30--39
Tecum	50		2005	5	50--59
fruganL	17		2005	1	<20
yodi	27	0.09036945226773749	2005	2	20--29
Pochahontas	33	0.0	2005	3	30--39
kicki08	29		2005	2	20--29
LHUF	27		2005	2	20--29
MalinI	28	0.0559429518907913	2005	2	20--29
Sommartider	17		2005	1	<20
Solaris	37	0.0688528638655893	2005	3	30--39
Ruggugglan	19		2005	1	<20
Fjäril kär	29		2005	2	20--29
Gustie	34	0.021516519957996656	2005	3	30--39
hymafr	42		2005	4	40--49
PumpkinQueen	25		2005	2	20--29
Tilcha	22		2005	2	20--29
Lorelei	29	0.03012312794119532	2005	2	20--29
CoolJen	27	0.5938559508407076	2005	2	20--29
car	32	0.008606607983198662	2005	3	30--39
Baronessan	32	0.017213215966397324	2005	3	30--39
hemlis	37		2005	3	30--39
Mopsan	20		2005	2	20--29
Adora1	27		2005	2	20--29
Saltlakrits	23		2005	2	20--29
Alisa	26		2005	2	20--29
Ickan	37		2005	3	30--39
underverket 06	36		2005	3	30--39
barnsäng	37	0.9036938382358595	2005	3	30--39
UWO BaraJag	34		2005	3	30--39
högbergarna	28		2005	2	20--29
Skogsstjärnan	39	0.025819823949595987	2005	3	30--39
Tristan	37	2.4098502352956257	2005	3	30--39
lilla mej	29		2005	2	20--29
sportpappa	29		2005	2	20--29
hot fuss	27		2005	2	20--29
Bohman	21		2005	2	20--29
AnnaKlara	36	0.008606607983198662	2005	3	30--39
hannis	28	0.0	2005	2	20--29
Moomin	25	0.017213215966397324	2005	2	20--29
snobben	37	0.24959163151276118	2005	3	30--39
Insatt	25		2005	2	20--29
Konvaljen	22	0.04733634390759264	2005	2	20--29
luzorsus	29	0.09467268781518529	2005	2	20--29
gosmamman	24		2005	2	20--29
Brooke	18		2005	1	<20
brokig	23	0.051639647899191975	2005	2	20--29
MayaS	37	0.06454955987398997	2005	3	30--39
Emeliee	26		2005	2	20--29
finskaflikkan	23		2005	2	20--29
Tigra79	27		2005	2	20--29
snöflingan1	37		2005	3	30--39
Carla82	24		2005	2	20--29
Kaosmamma	25		2005	2	20--29
Tant Groda	24		2005	2	20--29
Smajla	18	0.09036938382358595	2005	1	<20
Mamba	22	0.06024625588239064	2005	2	20--29
ModestyB	25		2005	2	20--29
AndreaBD	42		2005	4	40--49
Lilla Morran	23		2005	2	20--29
TheLove	37	0.34856762331954577	2005	3	30--39
Bondfia	35		2005	3	30--39
Mania x2	29		2005	2	20--29
SuzR	25		2005	2	20--29
Trikarn	37	0.004303303991599331	2005	3	30--39
Damien och Adrian	34		2005	3	30--39
BasseKatt	32		2005	3	30--39
Daggdroppen	19		2005	1	<20
Tettan	37		2005	3	30--39
lottizm	22		2005	2	20--29
Stella 78	28		2005	2	20--29
Tina B	37		2005	3	30--39
Lillatroll	33	0.2194685035715659	2005	3	30--39
Peztis	37	0.04303303991599331	2005	3	30--39
skruttis11	25	0.34856762331954577	2005	2	20--29
Fiamedbarn	36		2005	3	30--39
Tuttie	26	0.22807511155476454	2005	2	20--29
castillo	19		2005	1	<20
Studentpappa	25		2005	2	20--29
