period	v1ipm	v1abs
2000	11.395876041117605	71
2001	11.039949671417128	65
2002	10.069927835945597	116
2003	12.123294217078447	154
2004	11.585707627161499	551
2005	11.353170742249786	913
2006	11.275570197215636	1354
2007	10.324562050167877	1755
2008	10.848693592741892	2592
2009	10.311219174879625	3053
2010	11.659339565026418	4157
2011	11.897672778159565	4400
2012	11.974272024216338	4274
2013	12.217852846398548	3936
2014	11.634614404310664	3225
2015	11.649367792346325	2800
2016	11.047422358715664	2455
2017	11.682772501937313	2187
2018	12.110105543550278	2297
2019	11.730989864028729	2192
2020	11.68896373804903	2585
2021	11.532276620209903	2473
2022	12.001551674674657	2525
