period	v1ipm	v1abs
1998	1842.9305829480422	57
1999	2061.8316907352146	1241
2000	1799.1715192225856	334
2001	2764.6216543672213	753
2002	3312.8841280680863	587
2003	3182.1019577148504	683
2004	3080.7306322726326	1790
2005	2698.285750967175	12274
2006	3008.46085012212	23608
2007	2528.4510139175413	46291
2008	2319.2283634692276	96125
2009	2228.0564249280947	159169
2010	2270.3201778366624	208376
2011	2223.63691266207	207515
2012	2254.5867010901784	160382
2013	2296.677613369325	118503
2014	3710.5374167863433	79385
2015		
2016		
2017		
