period	v1ipm	v1abs
2000	139.1759962340613	102
2001	201.90920043956626	122
2002	88.4338437027321	125
2003	60.55909640884558	98
2004	35.8902312411923	166
2005	27.47374901356589	152
2006	40.91624572002161	353
2007	24.09936568418509	470
2008	28.99946724412613	862
2009	18.342411424663506	654
2010	20.49008476394619	829
2011	22.874050025778978	889
2012	31.11916244522879	1050
2013	34.61365074865818	878
2014	35.74154882013263	690
2015	29.750218973692952	394
2016	32.03013586764549	321
2017	45.49230800892082	336
2018	37.904482023716994	230
2019	36.70195795718953	179
2020	40.523753207548225	174
2021	40.88697128993539	160
